,0,1,2,3,4,5,6,7,8,9,10,11,12,13
166,2197,1.61,-3.65,2.35,5.09,-1.08,2.33,-0.97,1.35,-2.7,2.57,-0.296,-2963.383,2963.383
167,2207,4.54,-2.44,2.599,9.55,-0.8,2.71,-1.28,1.82,-2.74,2.6,-0.296,-2726.453,2726.453
168,2217,7.78,-0.43,2.795,-4.04,3.51,2.823,-2.07,1.9,-2.82,2.63,-0.296,-2304.244,2304.244
169,2227,7.78,-2.07,2.795,16.29,0.04,2.823,-2.78,1.7,-2.9,2.66,-0.297,-1728.772,1728.772
170,2238,7.78,-2.07,2.799,16.29,0.04,2.788,-2.03,1.77,-2.88,2.69,-0.297,-1728.772,1728.772
171,2249,7.63,-5.58,2.219,6.03,-0.6,2.138,0.49,1.0,-2.77,2.67,-0.297,-1145.276,1145.276
172,2259,2.21,-2.24,2.3,11.75,0.0,2.433,1.64,0.19,-2.72,2.65,-0.297,-453.663,453.663
173,2269,4.95,-1.49,2.734,11.99,-0.47,2.954,2.19,-0.37,-2.68,2.63,-0.297,-19.475,19.475
174,2279,15.06,-2.87,3.018,21.05,1.7,3.058,2.73,-1.05,-2.65,2.6,-0.297,-19.475,19.475
175,2289,15.06,-2.87,3.018,21.05,1.7,3.058,2.9,-1.89,-2.63,2.56,-0.296,42.33,-42.33
176,2300,6.52,0.14,2.957,16.05,3.54,2.971,2.99,-2.65,-2.62,2.52,-0.296,26.482,-26.482
177,2310,12.88,0.42,3.012,6.41,1.02,2.998,4.18,-3.45,-2.55,2.47,-0.297,26.482,-26.482
178,2320,1.21,-0.45,2.848,2.11,2.11,2.768,4.03,-4.62,-2.53,2.4,-0.297,44.527,-44.527
179,2330,-0.56,1.85,2.848,6.97,1.53,2.768,4.39,-5.23,-2.49,2.35,-0.297,44.527,-44.527
180,2341,-0.56,1.85,2.711,6.97,1.53,2.784,5.01,-4.38,-2.44,2.36,-0.296,46.723,-46.723
181,2352,13.52,-0.74,2.737,3.59,2.88,2.7,5.61,-4.05,-2.38,2.35,-0.297,66.947,-66.947
182,2363,-9.16,4.5,2.609,13.02,5.49,2.599,6.06,-4.7,-2.32,2.29,-0.298,48.92,-48.92
183,2373,-7.76,0.96,2.767,-4.41,1.13,2.833,5.15,-4.96,-2.33,2.26,-0.296,-39.124,39.124
184,2383,4.99,2.78,2.74,4.8,4.44,2.833,5.02,-5.01,-2.31,2.23,-0.296,-29.832,29.832
185,2393,4.99,2.78,2.74,4.8,4.44,2.693,4.89,-4.71,-2.28,2.21,-0.297,-90.538,90.538
186,2403,4.18,0.46,2.571,10.15,1.8,2.534,5.49,-4.75,-2.22,2.18,-0.297,-108.583,108.583
187,2413,0.6,-0.55,2.512,10.62,3.33,2.459,4.71,-4.1,-2.21,2.16,-0.297,-169.29,169.29
188,2423,7.81,2.54,2.446,3.02,4.44,2.459,2.26,-3.48,-2.26,2.15,-0.296,-229.996,229.996
189,2433,7.81,2.54,2.446,3.02,4.44,2.422,0.39,-2.68,-2.27,2.14,-0.296,-229.996,229.996
190,2444,3.0,0.37,2.348,6.46,2.45,2.337,-0.12,-2.15,-2.27,2.12,-0.297,-326.843,326.843
191,2454,5.13,-2.23,2.385,4.88,5.0,2.388,1.39,-1.73,-2.19,2.1,-0.296,-423.724,423.724
192,2464,6.06,1.65,2.354,5.74,2.11,2.349,1.26,-0.98,-2.18,2.11,-0.297,-545.171,545.171
193,2474,4.32,1.13,2.356,12.45,2.19,2.349,0.87,-0.72,-2.18,2.1,-0.296,-508.997,508.997
194,2486,6.03,1.87,2.356,12.45,2.19,2.354,1.28,-0.49,-2.14,2.08,-0.296,-700.68,700.68
195,2497,6.03,1.87,2.335,-2.48,3.97,2.331,0.89,-0.23,-2.13,2.07,-0.296,-1088.692,1088.692
196,2507,5.24,1.7,2.28,12.18,1.52,2.298,-0.17,0.09,-2.15,2.08,-0.297,-1416.994,1416.994
197,2517,8.5,-0.16,2.357,-6.25,1.22,2.397,0.19,-0.03,-2.14,2.07,-0.297,-1416.994,1416.994
198,2527,13.48,-0.95,2.404,11.22,2.1,2.378,-0.23,0.15,-2.14,2.08,-0.297,-1727.015,1727.015
199,2537,-2.19,0.99,2.404,11.22,2.1,2.378,0.14,0.75,-2.12,2.12,-0.296,-1957.981,1957.981
200,2548,-2.19,0.99,2.365,-5.56,2.74,2.393,-0.45,1.42,-2.15,2.14,-0.296,-2140.185,2140.185
201,2558,8.18,-0.79,2.357,5.17,2.92,2.348,-0.82,2.27,-2.18,2.17,-0.297,-2340.604,2340.604
202,2568,10.0,-1.17,2.294,7.88,1.5,2.293,-0.17,2.79,-2.16,2.21,-0.297,-3038.366,3038.366
203,2578,2.45,1.88,2.317,4.17,0.22,2.335,-1.05,2.26,-2.19,2.2,-0.282,-3845.885,3845.885
204,2588,2.69,-2.36,2.317,4.17,0.22,2.335,-1.57,2.4,-2.21,2.21,-0.158,-3845.885,3845.885
205,2599,2.69,-2.36,2.317,9.13,0.37,2.334,-1.35,2.47,-2.21,2.23,-0.158,-4541.231,4541.231
206,2609,7.15,-2.44,2.284,-8.8,-2.24,2.236,-1.49,2.13,-2.25,2.23,0.01,-5158.841,5158.841
207,2619,5.96,-2.1,2.228,-6.85,-3.68,2.256,-1.44,2.29,-2.25,2.25,0.004,-5585.882,5585.882
208,2629,1.81,-1.87,2.313,12.87,0.36,2.347,-2.47,2.2,-2.29,2.26,-0.023,-5585.882,5585.882
209,2639,6.76,-4.62,2.377,-1.04,-1.97,2.347,-3.67,2.16,-2.35,2.27,0.002,-6041.241,6041.241
210,2650,6.76,-4.62,2.377,-1.04,-1.97,2.395,-4.84,2.23,-2.42,2.3,0.002,-6711.43,6711.43
211,2661,10.32,-9.03,2.017,4.15,-1.95,1.911,-5.09,2.5,-2.5,2.34,0.003,-7382.413,7382.413
212,2671,6.97,-5.7,1.666,-13.59,-3.12,1.591,-5.63,3.31,-2.55,2.4,0.004,-7382.413,7382.413
213,2681,7.45,-7.03,1.326,1.87,-2.03,1.591,-6.43,3.86,-2.62,2.46,0.004,-7810.941,7810.941
214,2691,7.45,-7.03,1.326,1.87,-2.03,1.229,-6.54,4.72,-2.68,2.54,0.008,-8139.936,8139.936
215,2702,-8.82,-7.88,0.616,-5.23,-5.15,0.569,-6.93,4.62,-2.76,2.57,0.021,-8464.049,8464.049
216,2712,-3.94,-3.72,0.435,-4.45,-4.08,0.402,-7.73,6.15,-2.83,2.69,0.037,-8389.386,8389.386
217,2722,2.15,-10.14,0.279,-5.95,-9.06,0.231,-8.65,6.49,-2.94,2.76,0.044,-8671.326,8671.326
218,2732,0.29,-4.22,0.279,5.19,-2.28,0.231,-9.71,7.68,-3.06,2.87,0.069,-8898.761,8898.761
